sku;grouped_skus;attribute_set_code;type;product_websites;name;meta_title;meta_description;description;short_description;ed_model;categories;ed_brand;ed_type;ed_color;image;small_image;thumbnail
712_609_80_150032006200; 088345, 088347;Default;grouped;base;Matterhorn;Matterhorn;Matterhorn;Matterhorn;Matterhorn;Matterhorn;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;Triumph Tree;green;green; 08834501.jpg; 08834501.jpg; 08834501.jpg
729_500_80_150032006200;1013537;Default;grouped;base;Scandia;Scandia;Scandia;Scandia;Scandia;Scandia;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;Triumph Tree;to be determined;green; 101353701.jpg; 101353701.jpg; 101353701.jpg
729_601_90_150032006200;88819;Default;grouped;base;Scandia;Scandia;Scandia;Scandia;Scandia;Scandia;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;Triumph Tree;blue;blue; 08881901.jpg; 08881901.jpg; 08881901.jpg
729_609_80_150032006200; 088856, 088857, 088858;Default;grouped;base;Scandia;Scandia;Scandia;Scandia;Scandia;Scandia;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;Triumph Tree;green;green; 08885601.jpg; 08885601.jpg; 08885601.jpg
735_243_10_150032106210; 387030, 387031, 387032;Default;grouped;base;Icelandic;Icelandic;Icelandic;Icelandic;Icelandic;Icelandic;Shop/Artificial Christmas trees & wreaths/Artificial Christmas wreaths & garlands/Chrismas wreaths;Triumph Tree;wreath;white; 38703001.jpg; 38703001.jpg; 38703001.jpg
735_300_10_150032006200; 792101, 792102, 792103, 792110, 792111, 792112;Default;grouped;base;Icelandic;Icelandic;Icelandic;Icelandic;Icelandic;Icelandic;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;Triumph Tree;Norm Francais;white; 79210101.jpg; 79210101.jpg; 79210101.jpg
735_630_10_150032106211;387036;Default;grouped;base;Icelandic;Icelandic;Icelandic;Icelandic;Icelandic;Icelandic;Shop/Artificial Christmas trees & wreaths/Artificial Christmas wreaths & garlands/Garlands & swags;Triumph Tree;swag;white; 38703601.jpg; 38703601.jpg; 38703601.jpg
735_635_10_150032006200; 788615, 788616, 788617;Default;grouped;base;Icelandic;Icelandic;Icelandic;Icelandic;Icelandic;Icelandic;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;Triumph Tree;white;white; 78861501.jpg; 78861501.jpg; 78861501.jpg
752_300_215_150032006200; 288025, 288027;Default;grouped;base;Empress Spruce W/Cone;Empress Spruce W/Cone;Empress Spruce W/Cone;Empress Spruce W/Cone;Empress Spruce W/Cone;Empress Spruce W/Cone;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;Triumph Tree;Norm Francais;frosted; 28802501.jpg; 28802501.jpg; 28802501.jpg
aarh_115_10_110030306034;133313;Default;grouped;base;Aarhus;Aarhus;Aarhus;Aarhus;Aarhus;Aarhus;Shop/Home accessories/Room accents/Lanterns & hurricane lights;Mica Decorations;lantern;white; 13331301.jpg; 13331301.jpg; 13331301.jpg
aarh_115_22_110030306034; 133319, 133320;Default;grouped;base;Aarhus;Aarhus;Aarhus;Aarhus;Aarhus;Aarhus;Shop/Home accessories/Room accents/Lanterns & hurricane lights;Mica Decorations;lantern;d.grey; 13331901.jpg; 13331901.jpg; 13331901.jpg
aarh_500_10_110030306034;133519;Default;grouped;base;Aarhus;Aarhus;Aarhus;Aarhus;Aarhus;Aarhus;Shop/Home accessories/Room accents/Lanterns & hurricane lights;Mica Decorations;to be determined;white; 13351901.jpg; 13351901.jpg; 13351901.jpg
aarh_500_22_110030306034; 133521, 133522;Default;grouped;base;Aarhus;Aarhus;Aarhus;Aarhus;Aarhus;Aarhus;Shop/Home accessories/Room accents/Lanterns & hurricane lights;Mica Decorations;to be determined;d.grey; 13352101.jpg; 13352101.jpg; 13352101.jpg
aaron_500_20_100030006000;1023954;Default;grouped;base;Aaron;Aaron;Aaron;Aaron;Aaron;Aaron;Shop/Pottery & glassware/Indoor pottery/Indoor pots;Mica Decorations;to be determined;grey; 102395401.jpg; 102395401.jpg; 102395401.jpg
abbe_59_10_100030006004;114537;Default;grouped;base;Abbey;Abbey;Abbey;Abbey;Abbey;Abbey;Shop/Pottery & glassware/Indoor pottery/Indoor bottles & jugs;Casa Vivante;bottle;white; 11453701.jpg; 11453701.jpg; 11453701.jpg
abbe_59_22_100030006004;114541;Default;grouped;base;Abbey;Abbey;Abbey;Abbey;Abbey;Abbey;Shop/Pottery & glassware/Indoor pottery/Indoor bottles & jugs;Casa Vivante;bottle;d.grey; 11454101.jpg; 11454101.jpg; 11454101.jpg
abby_500_91_110030306034;1003729;Default;grouped;base;Abby;Abby;Abby;Abby;Abby;Abby;Shop/Home accessories/Room accents/Lanterns & hurricane lights;Mica Decorations;to be determined;l.blue; 100372901.jpg; 100372901.jpg; 100372901.jpg
abie_500_80_150032006200;1013563;Default;grouped;base;Abies Nordmann;Abies Nordmann;Abies Nordmann;Abies Nordmann;Abies Nordmann;Abies Nordmann;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;Triumph Tree;to be determined;green; 101356301.jpg; 101356301.jpg; 101356301.jpg
