sku;ed_model;ed_color;ed_size;;
19270;;transparent;D5.;27084/219;13726/137
19190;;transparent;D4.;;13728/137
19191;;transparent;D5.;;
19192;;transparent;D5.7.;;
19193;;transparent;D6.6.;;
19194;;transparent;D8.;;
19196;;transparent;D4.;;
19197;;transparent;D5.;;
19198;;transparent;D5.7.;;
11324;;green;H17.D40.;;
11325;;green;H17.D48.;;
11326;;green;H17.D55.;;
788003;Pencil Pine;green;H155.D71.;42566/219;
788004;Pencil Pine;green;H185.D84.;;
788005;Pencil Pine;green;H215.D99.;;
788039;Forest Fr.Pine;green;H120.D99.;;
88059;Pencil Pine;green;H245.D112.;;
707000;Zilla;white;L16.W10.H10;;
707001;Zilla;white;L16.W10.H20;;
707003;Zilla;white;L13.5.W13.5.H13.5;;
707004;Zilla;white;L16.5.W16.5.H16.5;;
707005;Zilla;white;L20.5.W20.5.H20.5;;
707006;Zilla;white;L13.5.W13.5.H25;;
732932;Sissy;brown;H35.D35.5.;;
732933;Sissy;brown;H71.D30.;;
732936;Sissy;brown;L53.W41.H92.5;;
732937;Sissy;brown;H70.D70.;;
782579;Swiss Forest;green;H155.D97.;;
782580;Swiss Forest;green;H185.D114.;;
782582;Swiss Forest;green;H215.D122.;;
782583;Swiss Forest;green;H230.D130.;;
782584;Swiss Forest;green;H260.D137.;;
707020;Zilla;black;L16.W10.H10;;
707021;Zilla;black;L16.W10.H20;;
707023;Zilla;black;L13.5.W13.5.H13.5;;
707024;Zilla;black;L16.5.W16.5.H16.5;;
707025;Zilla;black;L20.5.W20.5.H20.5;;
707026;Zilla;black;L13.5.W13.5.H25;;
788040;Forest Fr.Pine;green;H155.D119.;;
788041;Forest Fr.Pine;green;H185.D130.;;
788042;Forest Fr.Pine;green;H215.D140.;;
288212;Pistil Pine;green;H155.D109.;;
288214;Pistil Pine;green;H185.D130.;;
288216;Pistil Pine;green;H215.D150.;;
790001;Pencil Pine;green;H155.D71.;;
790002;Pencil Pine;green;H185.D84.;;
790003;Pencil Pine;green;H215.D99.;;
790012;Forest Fr.Pine;green;H120.D99.;;
790013;Forest Fr.Pine;green;H155.D119.;;
790014;Forest Fr.Pine;green;H185.D130.;;
790015;Forest Fr.Pine;green;H215.D140.;;
792001;Tuscan;green;H155.D99.;;
792002;Tuscan;green;H185.D109.;;
792004;Tuscan;green;H215.D135.;;
792005;Tuscan;green;H230.D142.;;
762958;Connect Xp;black;L180;;
707065;Zilla;anthracite;L20.5.W20.5.H20.5;;
288860;Scandia;green;H365.D183.;;
288949;Norway;blue;H30.D28.;;
707028;Zilla;black;L10.W10.H10;;
707008;Zilla;white;L10.W10.H10;;
788355;Oregan;green;H155.D94.;;
788356;Oregan;green;H185.D117.;;
788357;Oregan;green;H215.D132.;;
788453;Scandia;green;H600.D277.;;
790049;Forest Fr.Pine;green;H230.D157.;;
790050;Forest Fr.Pine;green;H260.D168.;;
790051;Forest Fr.Pine;green;H305.D188.;;
790052;Forest Fr.Pine;green;H365.D208.;;
790355;Oregan;green;H155.D94.;;
790356;Oregan;green;H185.D117.;;
790357;Oregan;green;H215.D132.;;
88028;Empress Spruce W/Cone;frosted;H230.D132.;;
588353;Matterhorn;blue;H140;;
588355;Matterhorn;blue;H185.D122.;;
588356;Matterhorn;blue;H200;;
588357;Matterhorn;blue;H215.D130.;;
588358;Matterhorn;blue;H230.D140.;;
588359;Matterhorn;blue;H260.D140.;;
588354;Matterhorn;blue;H155;;
88016;Empress Spruce W/Cone;green;H200.D114.;;
88018;Empress Spruce W/Cone;green;H230.D132.;;
88024;Empress Spruce W/Cone;frosted;H155.D99.;;
88014;Empress Spruce W/Cone;green;H155.D99.;;
88015;Empress Spruce W/Cone;green;H185.D107.;;
88017;Empress Spruce W/Cone;green;H215.D119.;;
