sku;super_products_sku;configurable_attributes;ed_search;attribute_set_code;type;name;meta_title;meta_description;description;short_description;categories;ed_type;image;small_image;thumbnail
115_1100_3030_1; 132197, 132482, 133097, 132261, 133127, 352707, 132480, 132887, 352708;ed_color,ed_size; 132197, 132482, 133097, 132261, 133127, 352707, 132480, 132887, 352708;default;configurable;lantern;lantern;lantern;lantern;lantern;shop/home accessories/room accents;lantern; 13219701.jpg; 13219701.jpg; 13219701.jpg
115_1600_3220_1;1034227;ed_color,ed_size;1034227;default;configurable;lantern;lantern;lantern;lantern;lantern;shop/christmas lighting/decorations lighting;lantern; 103422701.jpg; 103422701.jpg; 103422701.jpg
125_1300_3140_1;1033152;ed_color,ed_size;1033152;default;configurable;basket;basket;basket;basket;basket;shop/spring & outdoor decoration/outdoor decorations;basket; 103315201.jpg; 103315201.jpg; 103315201.jpg
126_1100_3030_1; 348952, 348961, 120673, 120503, 348970, 126755, 120065, 120184, 348968, 121265, 348954, 348953, 348969, 348966, 348965, 348960, 349227, 348964, 348963, 120628, 120631, 348971;ed_color,ed_size; 348952, 348961, 120673, 120503, 348970, 126755, 120065, 120184, 348968, 121265, 348954, 348953, 348969, 348966, 348965, 348960, 349227, 348964, 348963, 120628, 120631, 348971;default;configurable;marbles;marbles;marbles;marbles;marbles;shop/home accessories/room accents;marbles; 34895201.jpg; 34895201.jpg; 34895201.jpg
151_1000_3000_1; 1041427, 1038421, 1041471, 1041472, 1038410, 1041470, 1038436, 1022521, 1038444, 1038419, 1038420, 1038440, 1041461, 1038417, 1022513, 1022511, 1038418;ed_color,ed_size; 1041427, 1038421, 1041471, 1041472, 1038410, 1041470, 1038436, 1022521, 1038444, 1038419, 1038420, 1038440, 1041461, 1038417, 1022513, 1022511, 1038418;default;configurable;pot;pot;pot;pot;pot;shop/pottery & glassware/indoor pottery;pot; 104142701.jpg; 104142701.jpg; 104142701.jpg
151_1000_3000_2;1038445;ed_color,ed_size;1038445;default;configurable;pot;pot;pot;pot;pot;shop/pottery & glassware/indoor pottery;pot; 103844501.jpg; 103844501.jpg; 103844501.jpg
163_1000_3000_1; 1027479, 1027480;ed_color,ed_size; 1027479, 1027480;default;configurable;bowl;bowl;bowl;bowl;bowl;shop/pottery & glassware/indoor pottery;bowl; 102747901.jpg; 102747901.jpg; 102747901.jpg
163_1100_3050_1;1034832;ed_color,ed_size;1034832;default;configurable;bowl;bowl;bowl;bowl;bowl;shop/home accessories/small furniture;bowl; 103483201.jpg; 103483201.jpg; 103483201.jpg
166_1400_3190_1; 011955, 011957, 011958, 011951;ed_color,ed_size; 011955, 011957, 011958, 011951;default;configurable;snow;snow;snow;snow;snow;shop/christmas decoration/christmas accessories;snow; 01195501.jpg; 01195501.jpg; 01195501.jpg
171_1100_3030_1; 1033151, 348980;ed_color,ed_size; 1033151, 348980;default;configurable;mirror;mirror;mirror;mirror;mirror;shop/home accessories/room accents;mirror; 103315101.jpg; 103315101.jpg; 103315101.jpg
173_1100_3030_1; 349125, 349120, 349121;ed_color,ed_size; 349125, 349120, 349121;default;configurable;stones;stones;stones;stones;stones;shop/home accessories/room accents;stones; 34912501.jpg; 34912501.jpg; 34912501.jpg
173_1100_3030_2; 349122, 349124;ed_color,ed_size; 349122, 349124;default;configurable;stones;stones;stones;stones;stones;shop/home accessories/room accents;stones; 34912201.jpg; 34912201.jpg; 34912201.jpg
