sku;grouped_skus;ed_search;attribute_set_code;type;product_websites;name;meta_title;meta_description;description;short_description;ed_model;categories;ed_brand;ed_type;ed_color;image;small_image;thumbnail
712_609_80_15003200; 088345, 088347; 088345, 088347;default;grouped;base;matterhorn;matterhorn;matterhorn;matterhorn;matterhorn;matterhorn;shop/artificial christmas trees & wreaths/artificial christmas trees;triumph tree;green;green; 08834501.jpg; 08834501.jpg; 08834501.jpg
729_500_80_15003200;1013537;1013537;default;grouped;base;scandia;scandia;scandia;scandia;scandia;scandia;shop/artificial christmas trees & wreaths/artificial christmas trees;triumph tree;to be determined;green; 101353701.jpg; 101353701.jpg; 101353701.jpg
729_601_90_15003200;88819;88819;default;grouped;base;scandia;scandia;scandia;scandia;scandia;scandia;shop/artificial christmas trees & wreaths/artificial christmas trees;triumph tree;blue;blue; 08881901.jpg; 08881901.jpg; 08881901.jpg
729_609_80_15003200; 088856, 088857, 088858; 088856, 088857, 088858;default;grouped;base;scandia;scandia;scandia;scandia;scandia;scandia;shop/artificial christmas trees & wreaths/artificial christmas trees;triumph tree;green;green; 08885601.jpg; 08885601.jpg; 08885601.jpg
735_243_10_15003210; 387030, 387031, 387032; 387030, 387031, 387032;default;grouped;base;icelandic;icelandic;icelandic;icelandic;icelandic;icelandic;shop/artificial christmas trees & wreaths/artificial christmas wreaths & garlands;triumph tree;wreath;white; 38703001.jpg; 38703001.jpg; 38703001.jpg
735_300_10_15003200; 792101, 792102, 792103, 792110, 792111, 792112; 792101, 792102, 792103, 792110, 792111, 792112;default;grouped;base;icelandic;icelandic;icelandic;icelandic;icelandic;icelandic;shop/artificial christmas trees & wreaths/artificial christmas trees;triumph tree;norm francais;white; 79210101.jpg; 79210101.jpg; 79210101.jpg
735_630_10_15003210;387036;387036;default;grouped;base;icelandic;icelandic;icelandic;icelandic;icelandic;icelandic;shop/artificial christmas trees & wreaths/artificial christmas wreaths & garlands;triumph tree;swag;white; 38703601.jpg; 38703601.jpg; 38703601.jpg
735_635_10_15003200; 788615, 788616, 788617; 788615, 788616, 788617;default;grouped;base;icelandic;icelandic;icelandic;icelandic;icelandic;icelandic;shop/artificial christmas trees & wreaths/artificial christmas trees;triumph tree;white;white; 78861501.jpg; 78861501.jpg; 78861501.jpg
752_300_215_15003200; 288025, 288027; 288025, 288027;default;grouped;base;empress spruce w/cone;empress spruce w/cone;empress spruce w/cone;empress spruce w/cone;empress spruce w/cone;empress spruce w/cone;shop/artificial christmas trees & wreaths/artificial christmas trees;triumph tree;norm francais;frosted; 28802501.jpg; 28802501.jpg; 28802501.jpg
aarh_115_10_11003030;133313;133313;default;grouped;base;aarhus;aarhus;aarhus;aarhus;aarhus;aarhus;shop/home accessories/room accents;mica decorations;lantern;white; 13331301.jpg; 13331301.jpg; 13331301.jpg
aarh_115_22_11003030; 133319, 133320; 133319, 133320;default;grouped;base;aarhus;aarhus;aarhus;aarhus;aarhus;aarhus;shop/home accessories/room accents;mica decorations;lantern;d.grey; 13331901.jpg; 13331901.jpg; 13331901.jpg
aarh_500_10_11003030;133519;133519;default;grouped;base;aarhus;aarhus;aarhus;aarhus;aarhus;aarhus;shop/home accessories/room accents;mica decorations;to be determined;white; 13351901.jpg; 13351901.jpg; 13351901.jpg
aarh_500_22_11003030; 133521, 133522; 133521, 133522;default;grouped;base;aarhus;aarhus;aarhus;aarhus;aarhus;aarhus;shop/home accessories/room accents;mica decorations;to be determined;d.grey; 13352101.jpg; 13352101.jpg; 13352101.jpg
aaron_500_20_10003000;1023954;1023954;default;grouped;base;aaron;aaron;aaron;aaron;aaron;aaron;shop/pottery & glassware/indoor pottery;mica decorations;to be determined;grey; 102395401.jpg; 102395401.jpg; 102395401.jpg
abbe_59_10_10003000;114537;114537;default;grouped;base;abbey;abbey;abbey;abbey;abbey;abbey;shop/pottery & glassware/indoor pottery;casa vivante;bottle;white; 11453701.jpg; 11453701.jpg; 11453701.jpg
abbe_59_22_10003000;114541;114541;default;grouped;base;abbey;abbey;abbey;abbey;abbey;abbey;shop/pottery & glassware/indoor pottery;casa vivante;bottle;d.grey; 11454101.jpg; 11454101.jpg; 11454101.jpg
abby_500_91_11003030;1003729;1003729;default;grouped;base;abby;abby;abby;abby;abby;abby;shop/home accessories/room accents;mica decorations;to be determined;l.blue; 100372901.jpg; 100372901.jpg; 100372901.jpg
abie_500_80_15003200;1013563;1013563;default;grouped;base;abies nordmann;abies nordmann;abies nordmann;abies nordmann;abies nordmann;abies nordmann;shop/artificial christmas trees & wreaths/artificial christmas trees;triumph tree;to be determined;green; 101356301.jpg; 101356301.jpg; 101356301.jpg
abie_604_82_15003200; 389514, 389515; 389514, 389515;default;grouped;base;abies nordmann;abies nordmann;abies nordmann;abies nordmann;abies nordmann;abies nordmann;shop/artificial christmas trees & wreaths/artificial christmas trees;triumph tree;deluxe;d.green; 38951401.jpg; 38951401.jpg; 38951401.jpg
abie_627_80_15003210;387095;387095;default;grouped;base;abies nordmann;abies nordmann;abies nordmann;abies nordmann;abies nordmann;abies nordmann;shop/artificial christmas trees & wreaths/artificial christmas wreaths & garlands;triumph tree;garland led;green; 38709501.jpg; 38709501.jpg; 38709501.jpg
abington_500_80_15003200;1029036;1029036;default;grouped;base;abington;abington;abington;abington;abington;abington;shop/artificial christmas trees & wreaths/artificial christmas trees;black box trees;to be determined;green; 102903601.jpg; 102903601.jpg; 102903601.jpg
abington_500_90_15003200;1029040;1029040;default;grouped;base;abington;abington;abington;abington;abington;abington;shop/artificial christmas trees & wreaths/artificial christmas trees;black box trees;to be determined;blue; 102904001.jpg; 102904001.jpg; 102904001.jpg
acub_1_80_12003100;933242;933242;default;grouped;base;acuba;acuba;acuba;acuba;acuba;acuba;shop/artificial flowers & plants/plants;mica decorations;acuba;green; 93324201.jpg; 93324201.jpg; 93324201.jpg
adiantum_181_80_12003100;1044528;1044528;default;grouped;base;adiantum;adiantum;adiantum;adiantum;adiantum;adiantum;shop/artificial flowers & plants/plants;mica decorations;fern;green; 104452801.jpg; 104452801.jpg; 104452801.jpg
adiantum_500_80_12003100; 1040511, 1040514, 1040515; 1040511, 1040514, 1040515;default;grouped;base;adiantum;adiantum;adiantum;adiantum;adiantum;adiantum;shop/artificial flowers & plants/plants;mica decorations;to be determined;green; 104051101.jpg; 104051101.jpg; 104051101.jpg
adir_194_122_11003030; 138487, 138488; 138487, 138488;default;grouped;base;adira;adira;adira;adira;adira;adira;shop/home accessories/room accents;casa vivante;photo frame;d.brown; 13848701.jpg; 13848701.jpg; 13848701.jpg
agav_176_80_12003100; 1005651, 1011293, 1026435, 1026798; 1005651, 1011293, 1026435, 1026798;default;grouped;base;agave;agave;agave;agave;agave;agave;shop/artificial flowers & plants/plants;mica decorations;succulents;green; 100565101.jpg; 100565101.jpg; 100565101.jpg
agla_80_80_12003100;1011248;1011248;default;grouped;base;aglaonema;aglaonema;aglaonema;aglaonema;aglaonema;aglaonema;shop/artificial flowers & plants/plants;mica decorations;green plants;green; 101124801.jpg; 101124801.jpg; 101124801.jpg
agna_500_130_11003030; 1044144, 1044145, 1044146, 1044147, 1044148; 1044144, 1044145, 1044146, 1044147, 1044148;default;grouped;base;agna;agna;agna;agna;agna;agna;shop/home accessories/room accents;casa vivante;to be determined;gold; 104414401.jpg; 104414401.jpg; 104414401.jpg
agosta_500_121_11003050;1039741;1039741;default;grouped;base;agosta;agosta;agosta;agosta;agosta;agosta;shop/home accessories/small furniture;casa vivante;to be determined;l.brown; 103974101.jpg; 103974101.jpg; 103974101.jpg
aimi_500_13_11003060; 231300, 231301; 231300, 231301;default;grouped;base;aimi;aimi;aimi;aimi;aimi;aimi;shop/home accessories/organization;casa vivante;to be determined;off white; 23130001.jpg; 23130001.jpg; 23130001.jpg
alai_151_10_10003000; 1041685, 1041691; 1041685, 1041691;default;grouped;base;alain;alain;alain;alain;alain;alain;shop/pottery & glassware/indoor pottery;mica decorations;pot;white; 104168501.jpg; 104168501.jpg; 104168501.jpg
alai_151_123_10003000; 1041680, 1041689; 1041680, 1041689;default;grouped;base;alain;alain;alain;alain;alain;alain;shop/pottery & glassware/indoor pottery;mica decorations;pot;taupe; 104168001.jpg; 104168001.jpg; 104168001.jpg
alai_59_21_10003000; 241959, 241960; 241959, 241960;default;grouped;base;alain;alain;alain;alain;alain;alain;shop/pottery & glassware/indoor pottery;casa vivante;bottle;l.grey; 24195901.jpg; 24195901.jpg; 24195901.jpg
alai_59_30_10003000;241955;241955;default;grouped;base;alain;alain;alain;alain;alain;alain;shop/pottery & glassware/indoor pottery;casa vivante;bottle;black; 24195501.jpg; 24195501.jpg; 24195501.jpg
alanza_502_10_13003150; 1044366, 1044369, 1044376; 1044366, 1044369, 1044376;default;grouped;base;alanza;alanza;alanza;alanza;alanza;alanza;shop/spring & outdoor decoration/outdoor furniture;house of seasons;side table;white; 104436601.jpg; 104436601.jpg; 104436601.jpg
alford_500_80_15003200; 1028812, 1028813, 1028814; 1028812, 1028813, 1028814;default;grouped;base;alford;alford;alford;alford;alford;alford;shop/artificial christmas trees & wreaths/artificial christmas trees;black box trees;to be determined;green; 102881201.jpg; 102881201.jpg; 102881201.jpg
alli_500_10_12003090;1040303;1040303;default;grouped;base;allium;allium;allium;allium;allium;allium;shop/artificial flowers & plants/flowers & bouquets;mica decorations;to be determined;white; 104030301.jpg; 104030301.jpg; 104030301.jpg
alli_500_114_12003090;1027309;1027309;default;grouped;base;allium;allium;allium;allium;allium;allium;shop/artificial flowers & plants/flowers & bouquets;mica decorations;to be determined;mauve; 102730901.jpg; 102730901.jpg; 102730901.jpg
alli_500_20_12003090;1040304;1040304;default;grouped;base;allium;allium;allium;allium;allium;allium;shop/artificial flowers & plants/flowers & bouquets;mica decorations;to be determined;grey; 104030401.jpg; 104030401.jpg; 104030401.jpg
alli_500_30_12003090;1040305;1040305;default;grouped;base;allium;allium;allium;allium;allium;allium;shop/artificial flowers & plants/flowers & bouquets;mica decorations;to be determined;black; 104030501.jpg; 104030501.jpg; 104030501.jpg
alli_519_10_12003090;913970;913970;default;grouped;base;allium;allium;allium;allium;allium;allium;shop/artificial flowers & plants/flowers & bouquets;mica decorations;others;white; 91397001.jpg; 91397001.jpg; 91397001.jpg
alli_519_110_12003090;913968;913968;default;grouped;base;allium;allium;allium;allium;allium;allium;shop/artificial flowers & plants/flowers & bouquets;mica decorations;others;purple; 91396801.jpg; 91396801.jpg; 91396801.jpg
alli_519_113_12003090;913969;913969;default;grouped;base;allium;allium;allium;allium;allium;allium;shop/artificial flowers & plants/flowers & bouquets;mica decorations;others;lilac; 91396901.jpg; 91396901.jpg; 91396901.jpg
alli_519_14_12003090;1009032;1009032;default;grouped;base;allium;allium;allium;allium;allium;allium;shop/artificial flowers & plants/flowers & bouquets;mica decorations;others;cream; 100903201.jpg; 100903201.jpg; 100903201.jpg
alma_151_21_10003000; 1006389, 1006390, 1006391, 1006392, 1006393, 1006394, 1006396, 1006397, 1006398, 1006399, 1022548; 1006389, 1006390, 1006391, 1006392, 1006393, 1006394, 1006396, 1006397, 1006398, 1006399, 1022548;default;grouped;base;alma;alma;alma;alma;alma;alma;shop/pottery & glassware/indoor pottery;mica decorations;pot;l.grey; 100638901.jpg; 100638901.jpg; 100638901.jpg
alma_151_22_10003000; 1006400, 1006401, 1006402, 1006403, 1006404, 1006405, 1006407, 1006408, 1006409, 1006410, 1022549; 1006400, 1006401, 1006402, 1006403, 1006404, 1006405, 1006407, 1006408, 1006409, 1006410, 1022549;default;grouped;base;alma;alma;alma;alma;alma;alma;shop/pottery & glassware/indoor pottery;mica decorations;pot;d.grey; 100640001.jpg; 100640001.jpg; 100640001.jpg
alma_151_54_10003000; 1006412, 1006413, 1006414, 1006415; 1006412, 1006413, 1006414, 1006415;default;grouped;base;alma;alma;alma;alma;alma;alma;shop/pottery & glassware/indoor pottery;mica decorations;pot;terra; 100641201.jpg; 100641201.jpg; 100641201.jpg
